family,beak_length,beak_width,beak_depth,tarsus_length,wing_length,tail_length
Accipitridae,20,7,9,51,152,123
Accipitridae,24,5,10,52,153,134
Accipitridae,21,7,11,40,173,134
Accipitridae,21,8,11,45,173,116
Accipitridae,23,9,11,62,209,168
Accipitridae,32,10,17,68,325,250
Accipitridae,30,12,16,58,320,216
Accipitridae,27,8,12,45,186,156
Accipitridae,25,8,12,52,189,142
Accipitridae,29,9,14,62,242,180
Accipitridae,25,9,14,58,240,161
Accipitridae,27,9,12,65,221,202
Accipitridae,26,9,13,62,217,187
Accipitridae,31,10,15,81,272,238
Accipitridae,31,10,15,70,266,220
Accipitridae,18,6,8,48,167,138
Accipitridae,17,6,7,50,159,119
Accipitridae,36,11,20,75,290,212
Accipitridae,34,13,18,74,290,180
Accipitridae,16,6,8,33,134,103
Accipitridae,14,6,8,39,134,90
Accipitridae,24,9,12,52,187,148
Accipitridae,22,9,11,53,188,137
Accipitridae,18,6,8,49,172,147
Accipitridae,16,9,9,50,179,132
Accipitridae,19,5,9,48,169,132
Accipitridae,17,6,9,48,166,134
Accipitridae,23,7,11,55,182,159
Accipitridae,22,8,11,58,183,150
Accipitridae,87,26,36,129,742,370
Accipitridae,83,26,38,134,730,370
Accipitridae,61,20,29,106,564,308
Accipitridae,57,19,29,104,560,291
Accipitridae,37,12,19,67,325,235
Accipitridae,38,11,19,77,318,305
Accipitridae,52,14,27,83,585,311
Accipitridae,51,18,26,97,578,306
Accipitridae,46,13,22,99,470,281
Accipitridae,46,16,21,92,470,264
Accipitridae,53,16,24,107,550,365
Accipitridae,52,18,25,104,547,367
Accipitridae,57,18,26,113,590,380
Accipitridae,58,19,27,118,581,394
Accipitridae,32,10,14,60,291,187
Accipitridae,29,9,15,59,291,176
Accipitridae,32,10,15,72,412,223
Accipitridae,36,11,16,70,430,242
Accipitridae,38,11,16,65,273,180
Accipitridae,30,9,14,63,221,153
Accipitridae,27,9,13,64,222,146
Accipitridae,32,11,15,68,251,148
Accipitridae,32,12,16,71,246,141
Accipitridae,37,12,19,70,364,218
Accipitridae,38,12,19,81,356,210
Accipitridae,57,15,27,111,548,277
Accipitridae,69,16,28,130,538,268
Accipitridae,57,15,29,134,542,272
Accipitridae,57,15,28,125,532,264
Accipitridae,42,11,17,82,336,164
Accipitridae,38,11,16,78,339,160
Accipitridae,38,12,20,33,254,190
Accipitridae,38,11,20,23,244,185
Accipitridae,43,15,25,79,389,236
Accipitridae,41,14,21,65,383,223
Accipitridae,53,14,28,97,523,259
Accipitridae,52,15,27,104,543,279
Accipitridae,41,15,24,84,383,255
Accipitridae,45,14,24,70,361,233
Accipitridae,36,10,14,83,375,227
Accipitridae,38,11,14,88,379,231
Accipitridae,27,8,11,63,360,210
Accipitridae,25,9,11,62,356,235
Accipitridae,45,14,19,89,447,233
Accipitridae,46,14,18,97,437,217
Accipitridae,39,16,22,70,307,264
Accipitridae,38,14,21,62,301,245
Accipitridae,27,9,13,30,305,154
Accipitridae,26,11,12,38,294,147
Accipitridae,35,11,18,71,326,244
Accipitridae,35,13,18,70,321,245
Accipitridae,34,13,19,77,412,250
Accipitridae,36,12,19,66,415,264
Accipitridae,48,16,22,95,493,256
Accipitridae,48,14,21,90,485,218
Accipitridae,26,9,12,63,257,216
Accipitridae,25,9,11,65,265,222
Accipitridae,81,23,35,133,727,296
Accipitridae,79,23,35,116,732,310
Accipitridae,77,22,34,104,660,240
Accipitridae,75,22,33,106,627,210
Accipitridae,76,20,31,121,641,225
Accipitridae,73,20,29,99,607,207
Accipitridae,68,22,34,87,589,362
Accipitridae,74,22,33,80,589,296
Accipitridae,80,27,44,100,566,291
Accipitridae,93,27,43,96,565,313
Accipitridae,54,16,24,82,502,285
Accipitridae,56,17,24,87,496,280
Accipitridae,56,16,32,120,462,390
Accipitridae,58,17,32,132,451,395
Accipitridae,55,19,31,125,412,365
Accipitridae,62,19,32,142,388,360
Accipitridae,37,9,11,48,287,140
Accipitridae,36,10,11,50,278,134
Accipitridae,36,10,15,48,336,251
Accipitridae,30,10,15,41,337,253
Accipitridae,42,11,19,70,387,239
Accipitridae,37,10,19,55,379,236
Accipitridae,34,10,18,74,380,211
